x,y,id
-10059,8650,Kubyshkina G.A.
-9661,8861,Babkin A.V.
-10539,-11454,Smirnova V.
-10484,-11857,Riehokainen A.
-10817,-11167,Solov'Ev A.
-10891,-11630,Kallunki J.
-10155,-11538,Zhiltsov A.
-10359,-11102,Ryzhov V.
-7794,-4263,Ryabova N.
-15256,-1915,López A.F.
-15231,-2462,Golubkov A.Y.
216,16236,Trushechkin A.S.
8973,7049,Pozhar V.
8692,6209,Machihin A.
-7240,7500,Smerdova O.
-7852,7455,Cayer-Barrioz J.
-7596,7840,Le Bot A.
-7490,7116,Sarbaev B.
-1376,-11219,Wu N.
-1070,-11857,Li Y.
-1516,-11678,Wang J.
-944,-11406,Puchkov U.A.
-4774,16210,Derevich I.V.
-5310,16548,Ermolaev V.S.
-5712,16062,Mordkovich V.Z.
7077,-9991,Salles L.
6761,-10262,Blanc L.
6528,-9970,Thouverez F.
7129,-10494,Gouskov A.M.
6605,-10601,Jean P.
653,16416,Popov A.A.
7347,-19207,Shingareva I.K.
-4809,-396,Aleksandrova P.V.
-5046,102,Beshplav S.-I.T.
-5105,-227,Potapov A.A.
-6283,-745,Kurlov V.N.
-5095,-788,Tuchin V.V.
-4771,-70,Zaytseva K.I.
-4760,-4891,Zarubin V.S.
-5934,-3294,Kuvyrkin G.N.
-5692,-3837,Savelyeva I.Y.
15479,-3158,Selyakov I.
921,-14880,Liu B.
723,-15400,Grout V.
1263,-15308,Nikolaeva A.
15562,-780,Zubkov N.
15895,-292,Poptsov V.
15549,21,Vasiliev S.
15198,-265,Batako A.D.L.
-5353,15671,Solomonik I.G.
-4978,15719,Fokina A.Y.
-4679,8039,Moltchanova E.
-3576,8848,Shvidenko A.
-5078,8457,Blyshchyk V.
-5029,8157,Dmitriev E.
-4458,7766,Martynenko O.
-4525,9299,See L.
-3857,9255,Kraxner F.
-11514,11974,Machado Fernández J.R.
-11426,11428,Anishchenko L.
-7510,-5766,Aleshkin V.Y.
-7647,-6085,Morozov S.V.
-9039,-10788,Bystrov N.S.
-9008,-11279,Emelianov A.V.
-8570,-10798,Eremin A.V.
-8544,-11284,Yatsenko P.I.
-5938,-4390,Gayduchenko I.A.
-6000,-4953,Fedorov G.E.
-6211,-4436,Moskotin M.V.
-5524,-4735,Yagodkin D.I.
-5798,-5144,Seliverstov S.V.
-5796,-4781,Goltsman G.N.
-6052,-4666,Yu Kuntsevich A.
-5566,-5018,Rybin M.G.
-5696,-4506,Ryzhii V.I.
-7401,-445,Komarov K.A.
-8321,96,Brazhkin V.V.
-3852,8196,Bun R.
-4658,8567,Dürauer M.
-4216,8226,Schierhorn F.
-4042,8052,Estel S.
